	LE6	LE7	LE8	LE9	LE10	LE11	LE12	LE13	LE14	LE15	LP1	LP2	LP3	LP4	LP5	LP6	LP7	LP8	LP9	LP10	LP11	LP12	LP13	LP14	LP15
	E14.5	E14.5	E14.5	E14.5	E14.5	E17.5	E17.5	E17.5	E17.5	E17.5	P0	P0	P0	P0	P0	P1	P1	P1	P1	P7	P7	P7	P21	P21	P21
Cer d18:0/18:0	4.35E-05	5.31E-05	4.60E-05	4.69E-05	8.31E-05	3.17E-05	1.99E-05	5.11E-05	3.63E-05	4.20E-05	2.61E-05	2.96E-05	3.54E-05	1.56E-05	3.72E-05	3.44E-05	1.87E-05	2.96E-05	1.68E-05	2.61E-05	3.71E-05	2.08E-05	6.16E-05	5.15E-05	6.78E-05
Cer d18:1/20:0	0.000188969	0.000186347	0.000105069	0.000187518	0.000317125	4.63E-05	0.000153051	0.000169032	0.000141952	0.000186271	0.00011658	0.00013619	9.69E-05	6.10E-05	8.49E-05	0.000105674	0.000138069	8.78E-05	0.000105611	7.86E-05	0.000163838	0.00014045	0.000248169	0.000219093	0.000365807
Cer d18:0/20:0	4.36E-05	2.49E-05	1.62E-05	4.37E-05	6.77E-05	1.71E-05	3.19E-05	1.69E-05	9.29E-06	2.90E-05	4.19E-06	6.38E-06	1.90E-05	1.01E-05	1.59E-05	7.58E-06	6.64E-06	1.30E-05	6.00E-06	1.20E-05	1.44E-05	1.25E-05	2.26E-05	1.45E-05	1.35E-05
Cer d18:1/22:0	0.00039204	0.000478932	0.000272484	0.000450628	0.000518188	6.08E-05	0.000433158	0.00027481	0.00038006	0.000420796	0.000356295	0.000271812	0.000303394	0.000153101	0.000314722	0.000228708	0.000288558	0.0002936	0.00024813	0.000255299	0.000404904	0.00053459	0.000786987	0.000447233	0.000898417
Cer d18:0/22:0	1.40E-05	5.09E-05	1.23E-05	4.37E-05	4.25E-05	7.71E-06	2.30E-05	1.40E-05	1.28E-05	2.15E-05	1.94E-05	1.20E-05	1.81E-05	5.31E-06	1.35E-05	1.73E-05	1.03E-05	8.36E-06	9.92E-06	1.31E-05	1.82E-05	7.94E-06	3.07E-05	2.59E-05	3.43E-05
Cer d18:1/24:1	0.00065511	0.000734826	0.000466539	0.000675638	0.0008644	0.000560317	0.000807688	0.000774678	0.000801281	0.001076543	0.001228576	0.000943292	0.001055208	0.000808442	0.000839663	0.00106288	0.001139998	0.000782878	0.000777368	0.001419788	0.003235398	0.001916576	0.002145234	0.001888546	0.002679871
Cer d18:1/24:0	0.000280788	0.00063075	0.000334792	0.00054599	0.001282506	0.00010962	0.000450282	0.000543617	0.000380185	0.000659966	0.000715098	0.000490016	0.000659376	0.000426871	0.000516878	0.000417346	0.000490403	0.00041042	0.00028867	0.000741991	0.00131961	0.001277382	0.001516393	0.001585945	0.002389413
Cer d18:0/24:1	6.07E-05	6.72E-05	2.72E-05	9.85E-05	0.000143061	5.82E-05	5.41E-05	8.63E-05	4.17E-05	7.94E-05	3.35E-05	3.84E-05	6.86E-05	2.37E-05	4.80E-05	3.66E-05	3.57E-05	3.55E-05	3.31E-05	8.95E-05	0.000138642	0.000114793	9.68E-05	6.09E-05	0.000144424
Cer d18:0/24:0	3.89E-05	4.44E-05	2.14E-05	3.18E-06	9.66E-06	3.43E-06	2.10E-05	5.11E-05	7.47E-06	2.02E-05	1.75E-05	1.15E-05	3.05E-05	9.39E-06	2.39E-05	1.73E-05	1.67E-05	1.30E-05	1.00E-05	2.87E-05	6.97E-05	7.14E-05	5.99E-05	6.60E-05	9.94E-05
Cer d18:1/26:1	0.000138417	0.000115922	4.09E-05	4.45E-05	8.70E-05	5.14E-05	6.46E-05	4.28E-05	5.94E-05	0.000130892	7.30E-05	6.73E-05	0.000111773	5.08E-05	8.83E-05	5.95E-05	3.80E-05	4.83E-05	3.98E-05	2.40E-05	6.35E-05	5.62E-05	0.000634872	2.99E-05	2.82E-05
Cer d18:1/26:0	0.000183522	0.000192847	0.000114146	0.000193084	0.000290038	0.000289503	5.10E-05	7.23E-05	2.97E-05	5.50E-05	4.86E-05	3.94E-05	4.51E-05	2.94E-05	5.11E-05	3.38E-05	3.40E-05	3.38E-05	2.66E-05	5.27E-05	9.86E-05	5.01E-05	8.30E-05	4.41E-05	4.78E-05
Cer d18:0/26:1	2.96E-05	4.66E-05	7.13E-06	1.03E-05	1.93E-05	5.14E-06	1.32E-05	3.95E-06	1.06E-05	1.04E-05	3.88E-06	6.08E-06	6.10E-06	7.07E-07	1.21E-06	2.38E-06	4.64E-06	2.01E-06	4.18E-06	7.30E-06	1.98E-05	6.10E-06	1.94E-05	2.09E-06	8.63E-06
Cer d18:0/26:0	0.000346853	0.000399766	0.000212755	0.000284453	0.000533674	0.000741883	0.000112541	0.000115439	9.05E-05	5.08E-05	3.99E-05	3.69E-05	6.71E-05	4.77E-05	5.91E-05	6.65E-05	3.33E-05	3.78E-05	2.91E-05	4.23E-05	4.58E-05	6.14E-05	2.54E-05	3.21E-05	3.43E-05
GluCer d18:1/14:0	4.24E-06	5.79E-06	6.67E-06	6.91E-06	4.49E-06	3.65E-06	4.57E-06	5.28E-06	4.15E-06	4.04E-06	2.69E-06	3.30E-06	3.47E-06	2.20E-06	4.48E-06	2.27E-06	3.44E-06	2.23E-06	3.44E-06	7.49E-06	8.73E-06	9.53E-06	2.67E-06	3.12E-06	2.45E-06
GluCer d18:0/14:0	3.81E-07	7.95E-07	3.41E-07	5.32E-07	4.22E-07	2.13E-07	4.85E-07	1.99E-07	3.29E-07	4.82E-07	1.08E-07	2.02E-07	2.00E-07	1.66E-07	2.33E-07	2.52E-07	1.77E-07	1.99E-07	2.05E-07	5.69E-07	6.24E-07	6.43E-07	2.30E-07	2.31E-07	2.09E-07
GluCer d18:1/16:0	0.001241959	0.001662052	0.001610862	0.001245321	0.001170819	0.000517453	0.001144808	0.001507936	0.00100946	0.001134227	0.000862194	0.000971698	0.000885703	0.00056813	0.000986045	0.000585203	0.000808926	0.000737745	0.000737059	0.001592856	0.001495567	0.001741401	0.000551511	0.000761454	0.000700843
GluCer d18:0/16:0	3.02E-05	3.67E-05	3.99E-05	3.10E-05	3.07E-05	1.57E-05	3.11E-05	4.24E-05	2.99E-05	3.42E-05	2.73E-05	2.94E-05	2.61E-05	1.81E-05	2.89E-05	1.58E-05	2.29E-05	1.96E-05	1.99E-05	5.63E-05	5.19E-05	6.35E-05	1.48E-05	2.19E-05	2.14E-05
GluCer d18:1/18:0	0.000191312	0.000246535	0.000259479	0.000198865	0.000178055	3.29E-05	0.000142533	0.00018772	0.000136161	0.000133116	0.000107805	0.000107523	0.000121511	6.53E-05	0.000132366	0.000104092	0.00011899	0.000101133	0.000121044	0.000107889	0.000117592	0.000142236	9.39E-05	0.000128059	0.000121041
GluCer d18:0/18:0	4.28E-06	6.35E-06	5.54E-06	4.35E-06	4.13E-06	1.01E-06	3.84E-06	6.10E-06	3.59E-06	3.49E-06	2.88E-06	2.85E-06	3.29E-06	2.03E-06	3.46E-06	2.50E-06	2.66E-06	2.72E-06	3.18E-06	3.20E-06	3.35E-06	3.98E-06	2.67E-06	4.15E-06	3.20E-06
GluCer d18:1/20:0	0.000218983	0.000275522	0.000287349	0.000210955	0.000172232	2.54E-05	0.000224118	0.000293759	0.000207925	0.000184771	0.000123335	0.000141748	0.000123919	6.98E-05	0.000147289	0.000117396	0.000142397	0.000129444	0.000138209	0.000127448	0.00014849	0.000156363	8.93E-05	0.000145812	0.000138634
GluCer d18:0/20:0	3.75E-06	5.16E-06	6.18E-06	3.77E-06	3.54E-06	5.07E-07	5.55E-06	7.39E-06	5.50E-06	5.19E-06	3.35E-06	3.54E-06	3.56E-06	2.19E-06	3.84E-06	3.24E-06	3.36E-06	3.17E-06	3.30E-06	3.27E-06	3.27E-06	3.89E-06	2.56E-06	2.59E-06	3.14E-06
GluCer d18:1/22:0	0.000469588	0.000610139	0.000616793	0.000486501	0.000486535	2.90E-05	0.000449006	0.000645157	0.000422527	0.00047021	0.000359385	0.000445696	0.000403126	0.000275825	0.000487789	0.00027031	0.000350925	0.000274827	0.00040042	0.000362676	0.000397309	0.000468638	0.000216755	0.000357574	0.000372408
GluCer d18:0/22:0	9.13E-06	1.06E-05	1.33E-05	9.75E-06	9.06E-06	7.44E-07	1.10E-05	1.49E-05	9.92E-06	1.15E-05	8.02E-06	1.07E-05	1.00E-05	6.44E-06	1.08E-05	6.53E-06	8.11E-06	6.33E-06	9.54E-06	1.00E-05	1.00E-05	1.07E-05	5.66E-06	7.54E-06	9.63E-06
GluCer d18:1/24:1	0.000329006	0.000419064	0.000451172	0.000351858	0.000306684	0.00010088	0.000428633	0.00060775	0.000353663	0.000414768	0.00058653	0.000626682	0.000609316	0.000408139	0.000604577	0.000476049	0.000644784	0.000487541	0.000625216	0.00071219	0.00083733	0.000825335	0.000335797	0.00050908	0.000453392
GluCer d18:0/24:1	0.000348732	0.000432037	0.000487428	0.000390297	0.000306821	1.88E-05	0.000372548	0.000497166	0.000326627	0.000363023	0.000464221	0.000519727	0.00042426	0.000274318	0.000451821	0.000285493	0.000406945	0.00034018	0.000410097	0.000558986	0.000649946	0.000665129	0.000409491	0.000660733	0.000619609
GluCer d18:1/24:0	8.26E-06	9.97E-06	1.01E-05	9.96E-06	7.58E-06	2.15E-06	1.13E-05	1.41E-05	8.90E-06	9.77E-06	1.58E-05	1.59E-05	1.56E-05	1.15E-05	1.60E-05	1.11E-05	1.48E-05	1.33E-05	1.23E-05	2.01E-05	2.27E-05	2.60E-05	9.97E-06	1.30E-05	1.28E-05
GluCer d18:0/24:0	6.88E-06	8.13E-06	8.98E-06	7.31E-06	6.26E-06	4.01E-07	7.80E-06	9.86E-06	6.03E-06	8.19E-06	7.98E-06	1.03E-05	8.00E-06	7.20E-06	1.01E-05	5.95E-06	8.56E-06	8.46E-06	7.38E-06	1.48E-05	1.37E-05	1.76E-05	9.31E-06	1.34E-05	1.18E-05
GluCer d18:1/26:1	4.09E-06	6.43E-06	6.17E-06	5.15E-06	4.34E-06	8.63E-07	8.88E-06	1.19E-05	8.15E-06	1.11E-05	1.06E-05	1.23E-05	1.13E-05	9.48E-06	1.11E-05	7.66E-06	9.98E-06	7.34E-06	7.94E-06	1.06E-05	9.04E-06	1.13E-05	6.54E-06	7.25E-06	5.63E-06
GluCer d18:0/26:1	3.55E-06	5.47E-06	4.69E-06	4.15E-06	3.41E-06	5.15E-07	7.76E-06	1.08E-05	7.57E-06	7.72E-06	8.47E-06	1.01E-05	8.57E-06	6.13E-06	8.50E-06	6.23E-06	8.41E-06	5.99E-06	7.64E-06	9.00E-06	9.35E-06	9.94E-06	5.52E-06	7.48E-06	6.06E-06
GluCer d18:1/26:0	2.02E-07	4.71E-07	1.85E-07	1.35E-07	1.54E-07	1.33E-07	3.36E-07	5.86E-07	4.07E-07	3.66E-07	8.10E-07	1.01E-06	8.67E-07	3.97E-07	5.96E-07	8.61E-07	9.97E-07	7.13E-07	7.22E-07	6.08E-07	4.06E-07	4.51E-07	3.46E-07	3.97E-07	2.99E-07
GluCer d18:0/26:0	2.32E-07	2.00E-07	2.51E-07	5.39E-07	1.32E-07	9.14E-08	3.28E-07	1.83E-07	4.40E-07	2.71E-07	3.20E-07	7.60E-07	4.44E-07	2.88E-07	5.03E-07	3.14E-07	5.88E-07	4.24E-07	4.78E-07	2.28E-07	4.19E-07	4.66E-07	1.90E-07	1.97E-07	2.34E-07
LacCer d18:1/14:0	1.15E-06	1.54E-06	1.61E-06	1.49E-06	1.18E-06	1.33E-06	5.37E-07	1.26E-06	6.06E-07	9.84E-07	8.42E-07	1.12E-06	1.08E-06	7.82E-07	9.44E-07	7.06E-07	1.25E-06	9.49E-07	1.11E-06	1.68E-06	1.31E-06	1.40E-06	1.61E-06	1.99E-06	1.45E-06
LacCer d18:0/14:0	9.88E-07	1.20E-06	7.28E-07	1.06E-06	1.34E-06	1.32E-06	4.96E-07	1.18E-06	4.26E-07	4.54E-07	6.18E-07	4.65E-07	7.22E-07	6.74E-07	7.10E-07	5.99E-07	6.24E-07	8.37E-07	1.19E-06	5.30E-07	4.08E-07	4.82E-07	3.90E-07	4.27E-07	8.22E-07
LacCer d18:1/16:0	0.000160433	0.000236021	0.000217764	0.000216166	0.000193274	0.000127042	0.000111017	0.000154362	8.43E-05	0.000137635	9.64E-05	9.18E-05	9.85E-05	5.88E-05	0.000127379	0.000102151	0.000159563	0.000121752	0.000154524	0.00011736	0.000162938	0.000164489	0.00010999	0.000118876	0.000177287
LacCer d18:0/16:0	6.00E-06	7.04E-06	7.98E-06	8.20E-06	6.84E-06	6.12E-06	6.62E-06	7.95E-06	5.42E-06	5.63E-06	4.66E-06	4.91E-06	4.92E-06	3.63E-06	6.27E-06	4.80E-06	6.15E-06	4.05E-06	6.71E-06	5.08E-06	6.45E-06	6.17E-06	5.67E-06	6.35E-06	8.30E-06
LacCer d18:1/18:0	2.68E-05	3.71E-05	3.23E-05	3.26E-05	2.62E-05	8.38E-06	1.82E-05	2.64E-05	1.48E-05	2.17E-05	1.24E-05	1.35E-05	1.33E-05	8.73E-06	1.77E-05	1.77E-05	2.20E-05	1.50E-05	2.45E-05	6.03E-06	1.04E-05	9.55E-06	1.43E-05	1.71E-05	2.23E-05
LacCer d18:1/20:0	2.28E-05	3.42E-05	2.87E-05	2.64E-05	2.75E-05	3.97E-06	2.43E-05	3.81E-05	2.00E-05	3.14E-05	1.37E-05	1.52E-05	1.77E-05	1.15E-05	1.96E-05	2.36E-05	2.92E-05	1.95E-05	3.44E-05	8.21E-06	1.31E-05	9.58E-06	1.82E-05	2.13E-05	2.98E-05
LacCer d18:1/22:0	5.66E-05	9.03E-05	6.76E-05	6.36E-05	5.41E-05	5.51E-06	4.31E-05	6.43E-05	3.96E-05	5.28E-05	3.45E-05	3.79E-05	4.10E-05	2.68E-05	5.09E-05	4.62E-05	5.70E-05	4.50E-05	6.35E-05	1.83E-05	2.64E-05	2.32E-05	3.84E-05	4.41E-05	5.68E-05
LacCer d18:1/24:1	5.54E-05	8.80E-05	7.16E-05	6.53E-05	6.03E-05	1.63E-05	4.51E-05	6.05E-05	4.07E-05	4.95E-05	4.70E-05	4.83E-05	5.49E-05	3.84E-05	6.86E-05	7.28E-05	9.53E-05	8.16E-05	0.000104849	4.84E-05	5.93E-05	5.06E-05	3.51E-05	3.79E-05	5.20E-05
LacCer d18:1/24:0	5.98E-05	9.72E-05	7.55E-05	6.95E-05	6.29E-05	3.35E-06	3.96E-05	5.13E-05	3.51E-05	3.67E-05	3.51E-05	3.86E-05	4.02E-05	2.76E-05	4.25E-05	4.11E-05	5.46E-05	4.60E-05	7.00E-05	2.95E-05	3.37E-05	3.32E-05	3.12E-05	3.76E-05	5.07E-05
LacCer d18:0/24:1	3.43E-06	3.91E-06	2.96E-06	3.15E-06	3.15E-06	4.46E-06	3.19E-06	5.21E-06	3.44E-06	4.84E-06	3.25E-06	3.54E-06	5.83E-06	6.04E-06	5.92E-06	2.98E-06	4.04E-06	4.15E-06	5.35E-06	5.90E-06	5.06E-06	6.02E-06	7.06E-06	6.43E-06	5.17E-06
LacCer d18:0/24:0	1.70E-06	2.52E-06	1.89E-06	1.80E-06	2.16E-06	1.16E-06	1.17E-06	2.36E-06	1.16E-06	1.12E-06	1.12E-06	1.47E-06	2.13E-06	2.33E-06	1.59E-06	1.37E-06	1.45E-06	1.33E-06	2.39E-06	2.34E-06	2.07E-06	2.11E-06	2.45E-06	2.46E-06	2.91E-06
LacCer d18:1/26:1	9.29E-07	1.07E-06	1.11E-06	1.15E-06	9.98E-07	1.10E-07	6.86E-07	1.08E-06	8.05E-07	4.81E-07	1.19E-06	7.53E-07	8.74E-07	5.71E-07	1.26E-06	8.08E-07	1.48E-06	1.29E-06	1.88E-06	5.81E-07	6.74E-07	1.05E-06	3.09E-07	5.04E-07	5.92E-07
LacCer d18:1/26:0	7.64E-07	1.11E-06	8.03E-07	8.65E-07	6.56E-07	2.24E-07	7.69E-07	8.15E-07	5.92E-07	6.63E-07	6.78E-07	4.77E-07	9.79E-07	7.82E-07	1.05E-06	7.92E-07	1.06E-06	8.43E-07	1.66E-06	5.62E-07	7.84E-07	4.05E-07	5.09E-07	9.52E-07	7.70E-07
Gb3 d18:1/16:0	1.21E-05	1.94E-05	1.56E-05	1.28E-05	1.56E-05	2.76E-05	1.50E-05	2.08E-05	1.52E-05	1.64E-05	6.19E-05	6.72E-05	4.92E-05	4.53E-05	4.19E-05	0.000123385	0.000161316	0.000172854	0.000163478	0.000335487	0.000355068	0.000307488	0.000584418	0.00063467	0.000696966
Gb3 d18:1/18:0	4.87E-06	5.65E-06	5.53E-06	5.65E-06	5.14E-06	3.15E-06	8.14E-06	1.26E-05	6.77E-06	1.05E-05	1.70E-05	2.31E-05	2.50E-05	2.11E-05	1.54E-05	1.80E-05	3.37E-05	3.60E-05	2.74E-05	5.55E-05	4.38E-05	5.03E-05	0.000113117	0.000121709	0.00014267
Gb3 d18:1/20:0	7.59E-06	1.47E-05	1.27E-05	1.23E-05	8.41E-06	6.65E-06	9.92E-06	5.77E-06	4.76E-06	7.78E-06	1.21E-05	1.25E-05	1.20E-05	1.32E-05	1.08E-05	1.83E-05	2.20E-05	2.31E-05	2.44E-05	4.55E-05	4.85E-05	4.32E-05	0.00011422	0.000131146	0.000131553
Gb3 d18:1/22:0	8.88E-06	1.02E-05	1.52E-05	1.05E-05	6.25E-06	8.45E-06	7.90E-06	8.26E-06	5.45E-06	7.24E-06	1.87E-05	2.50E-05	2.17E-05	1.91E-05	1.10E-05	2.62E-05	3.99E-05	4.89E-05	4.58E-05	6.11E-05	7.18E-05	6.02E-05	0.000142017	0.00019689	0.000180367
2:0 carnitine	0.002600001	0.002201959	0.002786179	0.00243086	0.002774914	0.000310208	0.000369784	0.000364647	0.000434346	0.000355641	0.000211501	0.000204575	0.000318429	0.000291259	0.000159052	0.000245948	0.000261533	0.000230784	0.000267425	0.000373707	0.000269544	0.000446091	0.000325567	0.000364948	0.000336678
3:0-carnitine	1.21E-05	1.99E-05	1.46E-05	1.40E-05	1.38E-05	1.69E-05	1.04E-05	1.80E-05	1.30E-05	1.65E-05	1.24E-05	1.17E-05	1.69E-05	1.43E-05	9.35E-06	6.12E-06	9.75E-06	1.36E-05	1.48E-05	1.48E-05	9.91E-06	1.49E-05	1.17E-05	1.08E-05	1.18E-05
4:0-carnitine	0.000332956	0.00042176	0.000341401	0.000426826	0.000332143	0.000334115	0.000383435	0.000321023	0.000269877	0.000349494	6.48E-05	5.55E-05	6.57E-05	4.86E-05	4.74E-05	1.40E-05	2.54E-05	2.82E-05	4.74E-05	7.22E-05	3.30E-05	8.19E-05	0.000122238	0.000142895	9.80E-05
5:0-carnitine	4.60E-05	4.99E-05	3.99E-05	6.20E-05	4.76E-05	0.000143786	0.000128978	0.000172491	9.31E-05	0.000122749	0.000135931	0.000107541	0.000134162	0.000175544	9.21E-05	3.36E-05	5.64E-05	8.41E-05	9.60E-05	9.42E-05	6.27E-05	9.40E-05	6.25E-05	2.99E-05	3.46E-05
6:0 carnitine	0.000101704	7.29E-05	7.50E-05	8.13E-05	0.000111261	3.56E-05	5.77E-05	4.98E-05	4.92E-05	6.02E-05	1.96E-05	1.63E-05	1.85E-05	1.07E-05	2.06E-05	9.31E-06	8.55E-06	1.32E-05	1.55E-05	4.34E-05	1.74E-05	4.69E-05	0.000123111	0.000132201	0.000102465
8:0-carnitine	2.52E-05	1.13E-05	2.21E-05	1.68E-05	2.45E-05	4.89E-06	1.32E-05	6.84E-06	9.59E-06	1.36E-05	1.06E-05	5.76E-06	5.91E-06	5.30E-06	7.35E-06	1.93E-06	2.40E-06	3.90E-06	3.43E-06	1.79E-05	3.45E-06	2.08E-05	3.88E-05	2.86E-05	4.09E-05
12:0-carnitine	7.29E-06	4.92E-06	6.24E-06	5.59E-06	7.82E-06	5.16E-06	7.42E-06	3.46E-06	5.21E-06	6.00E-06	5.70E-06	4.90E-06	4.38E-06	3.64E-06	5.03E-06	3.19E-06	3.47E-06	3.12E-06	3.03E-06	3.06E-05	1.13E-05	2.93E-05	3.23E-05	4.34E-05	4.30E-05
14:0-carnitine	3.98E-05	3.13E-05	4.52E-05	4.19E-05	4.74E-05	3.63E-05	4.66E-05	2.61E-05	4.21E-05	5.37E-05	3.31E-05	3.84E-05	3.13E-05	2.16E-05	3.62E-05	2.22E-05	2.89E-05	2.34E-05	2.50E-05	0.000168522	5.90E-05	0.000151744	0.000166648	0.000241093	0.000243786
14:1-carnitine	1.93E-05	1.08E-05	2.52E-05	1.49E-05	2.11E-05	1.10E-05	1.44E-05	7.28E-06	9.65E-06	1.36E-05	1.75E-05	1.57E-05	1.27E-05	1.02E-05	1.34E-05	6.27E-06	5.74E-06	1.04E-05	6.96E-06	2.74E-05	9.08E-06	2.60E-05	3.83E-05	4.29E-05	4.81E-05
14:2-carnitine	4.06E-06	3.44E-06	5.20E-06	3.70E-06	4.99E-06	2.11E-06	2.44E-06	1.97E-06	1.85E-06	2.36E-06	3.23E-06	3.59E-06	3.50E-06	2.00E-06	2.62E-06	1.89E-06	1.74E-06	2.06E-06	1.84E-06	6.38E-06	2.63E-06	6.80E-06	1.02E-05	1.08E-05	1.18E-05
15:0-carnitine	5.53E-06	4.27E-06	4.64E-06	5.74E-06	5.91E-06	4.29E-06	5.85E-06	3.51E-06	4.98E-06	6.42E-06	4.39E-06	5.63E-06	5.45E-06	3.26E-06	4.63E-06	4.26E-06	4.18E-06	4.46E-06	5.16E-06	1.26E-05	8.91E-06	1.43E-05	2.17E-05	2.75E-05	2.65E-05
16:0-carnitine	0.000214524	0.000168682	0.000251041	0.000263436	0.000222923	0.000138483	0.000211195	0.000123252	0.000233091	0.000254422	0.00021404	0.000220257	0.000201285	0.000117322	0.000185161	0.000108404	0.000136093	0.0001459	0.00011673	0.000525717	0.000279634	0.000568964	0.000479006	0.000648578	0.000772848
16:1-carnitine	6.67E-05	5.68E-05	0.000111296	9.90E-05	0.000101438	3.75E-05	3.15E-05	2.61E-05	3.64E-05	3.76E-05	6.07E-05	7.85E-05	7.25E-05	3.36E-05	4.85E-05	1.93E-05	2.36E-05	2.56E-05	2.04E-05	7.27E-05	2.85E-05	5.86E-05	7.68E-05	8.41E-05	0.000111266
16:2-carnitine	5.26E-06	5.07E-06	6.72E-06	5.85E-06	7.17E-06	3.03E-06	2.60E-06	2.60E-06	2.71E-06	3.64E-06	3.98E-06	6.30E-06	4.95E-06	2.59E-06	2.98E-06	2.11E-06	2.08E-06	2.91E-06	2.57E-06	9.17E-06	2.76E-06	8.36E-06	1.55E-05	1.53E-05	1.77E-05
17:0-carnitine	7.42E-06	7.26E-06	5.65E-06	1.05E-05	1.19E-05	7.12E-06	9.49E-06	8.69E-06	9.93E-06	1.66E-05	5.89E-06	9.21E-06	9.92E-06	4.38E-06	7.10E-06	6.06E-06	6.45E-06	6.27E-06	7.38E-06	1.64E-05	1.29E-05	1.93E-05	2.60E-05	3.17E-05	3.37E-05
17:1-carnitine	2.55E-06	3.30E-06	3.07E-06	3.89E-06	3.28E-06	1.90E-06	1.64E-06	1.29E-06	1.68E-06	2.43E-06	2.02E-06	3.33E-06	3.08E-06	1.36E-06	2.08E-06	2.24E-06	2.38E-06	1.88E-06	2.27E-06	8.23E-06	4.58E-06	7.44E-06	1.01E-05	1.27E-05	1.41E-05
18:0-carnitine	5.79E-05	6.31E-05	5.47E-05	6.92E-05	6.61E-05	4.63E-05	4.71E-05	3.55E-05	4.08E-05	4.57E-05	3.94E-05	4.47E-05	4.04E-05	2.75E-05	6.05E-05	2.98E-05	3.55E-05	3.46E-05	3.74E-05	7.25E-05	5.40E-05	8.34E-05	0.00017822	0.000148335	0.000211252
18:1-carnitine	0.000240453	0.000230261	0.000307646	0.000270677	0.000324452	0.000116526	9.65E-05	8.46E-05	8.83E-05	0.000105057	0.000191425	0.000234935	0.000236999	9.33E-05	0.000248943	0.000110154	0.000110745	0.000111305	9.47E-05	0.000231916	0.000120059	0.000280245	0.000244048	0.00027363	0.00037159
18:2-carnitine	3.69E-05	3.67E-05	3.59E-05	4.52E-05	5.20E-05	2.36E-05	1.21E-05	1.45E-05	1.52E-05	1.96E-05	2.63E-05	4.59E-05	3.93E-05	1.75E-05	3.33E-05	2.01E-05	2.40E-05	1.99E-05	1.81E-05	7.22E-05	3.51E-05	6.97E-05	7.38E-05	7.68E-05	1.00E-04
18:3-carnitine	5.38E-06	6.13E-06	6.35E-06	6.09E-06	8.53E-06	2.87E-06	1.20E-06	1.62E-06	2.03E-06	1.63E-06	3.03E-06	5.59E-06	3.75E-06	1.74E-06	2.64E-06	1.54E-06	1.42E-06	1.24E-06	1.48E-06	7.13E-06	2.84E-06	6.29E-06	7.58E-06	7.41E-06	1.00E-05
20:0-carnitine	2.91E-06	3.48E-06	3.32E-06	3.90E-06	3.57E-06	3.63E-06	4.42E-06	2.65E-06	2.37E-06	4.73E-06	1.65E-06	2.04E-06	1.82E-06	1.12E-06	2.34E-06	1.93E-06	2.46E-06	1.86E-06	2.60E-06	5.54E-06	4.74E-06	7.51E-06	1.10E-05	1.07E-05	1.39E-05
20:1-carnitine	7.13E-06	7.92E-06	6.65E-06	7.53E-06	8.65E-06	9.04E-06	1.19E-05	6.82E-06	9.14E-06	1.08E-05	4.48E-06	5.83E-06	4.86E-06	3.50E-06	6.82E-06	5.48E-06	6.62E-06	4.99E-06	5.86E-06	1.28E-05	1.12E-05	1.65E-05	1.93E-05	1.72E-05	2.27E-05
20:2-carnitine	5.64E-06	4.94E-06	4.99E-06	6.02E-06	7.13E-06	4.57E-06	3.62E-06	3.31E-06	3.62E-06	4.98E-06	4.07E-06	6.39E-06	4.61E-06	2.88E-06	4.99E-06	4.87E-06	5.14E-06	3.81E-06	4.51E-06	1.61E-05	1.09E-05	2.05E-05	2.49E-05	2.53E-05	3.12E-05
20:3-carnitine	1.78E-06	1.47E-06	2.11E-06	1.97E-06	3.01E-06	1.29E-06	5.46E-07	1.01E-06	7.63E-07	1.25E-06	1.88E-06	2.82E-06	1.86E-06	1.09E-06	1.57E-06	1.52E-06	1.82E-06	9.82E-07	1.65E-06	3.99E-06	2.93E-06	4.41E-06	4.73E-06	4.76E-06	6.44E-06
20:4-carnitine	5.17E-06	4.58E-06	5.85E-06	5.62E-06	5.97E-06	5.01E-06	1.92E-06	2.91E-06	2.15E-06	4.71E-06	4.78E-06	9.60E-06	4.65E-06	2.68E-06	5.75E-06	5.73E-06	6.67E-06	5.31E-06	5.78E-06	8.99E-06	7.41E-06	1.18E-05	1.56E-05	1.68E-05	2.33E-05
20:5-carnitine	7.03E-06	1.29E-05	9.49E-06	8.86E-06	9.68E-06	1.77E-06	6.53E-06	7.45E-06	6.00E-06	6.69E-06	4.63E-06	4.34E-06	4.22E-06	3.33E-06	5.65E-06	4.56E-06	4.34E-06	3.46E-06	4.65E-06	6.43E-06	6.17E-06	6.79E-06	6.83E-06	7.11E-06	8.08E-06
22:5-carnitine	4.38E-07	7.36E-07	6.18E-07	5.12E-07	5.49E-07	2.88E-07	2.67E-07	4.13E-07	2.71E-07	3.83E-07	4.16E-07	7.12E-07	5.67E-07	2.43E-07	6.10E-07	3.63E-07	2.98E-07	3.19E-07	2.66E-07	6.39E-07	4.75E-07	7.87E-07	6.04E-07	5.75E-07	9.42E-07
22:6-carnitine	7.27E-07	9.70E-07	1.16E-06	1.25E-06	1.26E-06	8.76E-07	5.57E-07	4.60E-07	4.67E-07	5.91E-07	8.56E-07	1.32E-06	1.19E-06	5.20E-07	1.21E-06	6.66E-07	7.32E-07	7.05E-07	7.52E-07	8.97E-07	8.28E-07	1.36E-06	1.58E-06	1.64E-06	2.22E-06
