	LE6	LE7	LE8	LE9	LE10	LE11	LE12	LE13	LE14	LE15	LP1	LP2	LP3	LP4	LP5	LP6	LP7	LP8	LP9	LP10	LP11	LP12	LP13	LP14	LP15
	E14.5	E14.5	E14.5	E14.5	E14.5	E17.5	E17.5	E17.5	E17.5	E17.5	P0	P0	P0	P0	P0	P1	P1	P1	P1	P7	P7	P7	P21	P21	P21
PC36:4(16:0/20:4)	0.053440822	0.063628573	0.07060946	0.056566403	0.054408928	0.044781051	0.045221187	0.043076108	0.04616735	0.041265238	0.037738868	0.044488109	0.026106658	0.03056281	0.03524353	0.054468319	0.054733923	0.042739644	0.049968167	0.049972525	0.042358261	0.043319097	0.047284808	0.056310857	0.061767738
PC36:4(16:1/20:3)	0.000804532	0.000963274	0.001028102	0.000878439	0.000838805	0.000677674	0.0007761	0.000731395	0.000765168	0.000537532	0.000681427	0.000734989	0.000487977	0.000524498	0.000626223	0.000533021	0.000588392	0.000334169	0.00046402	0.000329331	0.000295078	0.000282597	0.000212807	0.000220952	0.000251052
PC36:4(18:2/18:2)	0.002661623	0.002993082	0.003379314	0.00272596	0.002769089	0.002094167	0.002244191	0.002027705	0.002245258	0.002129656	0.002087978	0.00297073	0.001698861	0.001837096	0.002033115	0.005263087	0.004418972	0.002893543	0.003648354	0.00317899	0.0027562	0.002624357	0.001848295	0.002388519	0.002462052
PC36:3(16:0/20:3)	0.006456927	0.00778523	0.008544886	0.007033552	0.006524399	0.00684132	0.007163453	0.00698742	0.007220005	0.005798279	0.005718861	0.006547371	0.004003728	0.005035265	0.005066538	0.006788315	0.007106439	0.004937369	0.006044196	0.0082423	0.006430508	0.007009661	0.007318889	0.008621957	0.009262754
PC36:2(18:0/18:2)	0.005185032	0.005969335	0.006371178	0.005198613	0.004874382	0.003437887	0.003843219	0.00368934	0.003755455	0.003632809	0.003095991	0.003606469	0.002599326	0.002643246	0.003319304	0.004351671	0.003531702	0.002794975	0.003306019	0.003500133	0.002974774	0.0030263	0.005039577	0.005925339	0.00648991
PC36:2(18:1/18:1)	0.05225413	0.063647698	0.06892533	0.058221845	0.051451051	0.039553235	0.044951784	0.040828848	0.039383821	0.034234037	0.027964733	0.032341292	0.023160655	0.025486022	0.029244942	0.031372887	0.027470356	0.022425955	0.024027997	0.014296402	0.011491729	0.011447106	0.00590006	0.007306121	0.008406045
PC36:1(18:0/18:1)	0.012464778	0.013290613	0.014863908	0.012525865	0.011916501	0.008657584	0.010245669	0.00913954	0.009182371	0.008402866	0.00627139	0.006995282	0.00518295	0.005571027	0.006318403	0.006512085	0.005570485	0.00440268	0.004872581	0.005154739	0.004526637	0.00475358	0.006410218	0.007904159	0.00870734
PC38:6(18:0/22:6)	0.010319602	0.012834513	0.012935898	0.010804355	0.010026162	0.009160531	0.008709315	0.00862422	0.009209032	0.008467587	0.009805487	0.011894727	0.006314471	0.006967238	0.00917483	0.017772833	0.01963776	0.015913242	0.020280343	0.01023597	0.007958596	0.008120608	0.011925622	0.013119985	0.014349352
PC38:6(18:1/22:5)	0.000359511	0.000427651	0.000475675	0.00035564	0.000326023	0.000284756	0.000273108	0.000245271	0.000303641	0.000248824	0.000329185	0.00038583	0.000244656	0.000248006	0.000319793	0.000403122	0.000377929	0.000296573	0.000349099	0.000230895	0.000174998	0.000187935	0.000170855	0.000199345	0.000211121
PC38:6(18:2/20:4)	0.005708992	0.006348217	0.006753415	0.005064534	0.005007101	0.002914455	0.003014441	0.00282623	0.003060014	0.002658772	0.002137774	0.00315065	0.001708901	0.001764765	0.002091768	0.004253992	0.004159889	0.00269287	0.003039998	0.003566984	0.003412417	0.003437217	0.002240827	0.003087228	0.002991443
PC38:6(18:3/20:3)	7.80E-05	0.00010061	0.000102856	7.66E-05	8.23E-05	5.27E-05	6.13E-05	5.86E-05	6.93E-05	5.16E-05	7.12E-05	7.26E-05	5.11E-05	5.48E-05	6.22E-05	8.53E-05	8.58E-05	5.73E-05	7.65E-05	5.85E-05	5.56E-05	4.39E-05	5.55E-05	6.78E-05	7.14E-05
PC38:5(16:0/22:5)	0.00303385	0.003773861	0.00407046	0.003345399	0.003080531	0.003648997	0.003326781	0.003240483	0.003596986	0.003026137	0.003578252	0.004689765	0.002552635	0.002884055	0.003537141	0.006248977	0.006749119	0.004586514	0.005513137	0.007677752	0.006008758	0.006192347	0.005916335	0.0067401	0.007570038
PC38:5(16:1/22:4)	0.000888117	0.001241964	0.00136252	0.001039463	0.000901979	0.000596521	0.000539716	0.000553977	0.000609848	0.000529485	0.000437223	0.000470616	0.000288143	0.000304323	0.000356653	0.000376826	0.000313713	0.000245519	0.000270336	0.000251571	0.000221602	0.000228255	0.000206078	0.00024058	0.000274937
PC38:5(18:1/20:4)	0.019565117	0.023737182	0.026507915	0.020793185	0.019139991	0.013226354	0.013487152	0.013318122	0.013958224	0.010918041	0.010347828	0.012584223	0.007305009	0.008788039	0.010130252	0.014390223	0.012657846	0.010455594	0.01039514	0.009464511	0.007657282	0.00812999	0.004557182	0.005868336	0.006363612
PC38:5(18:2/20:3)	0.000624056	0.000689148	0.00077943	0.000593695	0.000554843	0.000464331	0.00042524	0.000440784	0.000465675	0.000399395	0.000402178	0.000584878	0.000335654	0.000352592	0.000389052	0.000746115	0.000669402	0.000451338	0.00052603	0.000708282	0.000605601	0.000633708	0.000399413	0.000525002	0.000506673
PC38:4(18:0/20:4)	0.035218881	0.042556071	0.043947618	0.035691374	0.033031923	0.023250021	0.022743699	0.021415098	0.024500238	0.021193391	0.015857619	0.017846222	0.011926915	0.012674423	0.014552178	0.021137484	0.019026561	0.015059314	0.016898734	0.022293043	0.017491151	0.020178675	0.024805131	0.030449463	0.032394987
PC38:4(18:1/20:3)	0.002345873	0.002759447	0.002759155	0.002467741	0.002244409	0.002249118	0.002317756	0.00228723	0.002136066	0.001735994	0.001971955	0.002332522	0.001579775	0.001864376	0.00194599	0.002330968	0.002328264	0.001635803	0.00191884	0.001795795	0.001524589	0.001575814	0.001048374	0.001168582	0.001264094
PC38:3(18:0/20:3)	0.004125685	0.004630053	0.004647379	0.003941588	0.003880554	0.003507905	0.003576811	0.003628502	0.003662163	0.003130565	0.003019161	0.00331355	0.002229355	0.002659276	0.002887193	0.003014601	0.003190634	0.002325382	0.002701401	0.003540758	0.002845631	0.003058196	0.004822582	0.005545658	0.005939886
PC40:7(18:1/22:6)	0.006216981	0.00808949	0.007966198	0.006601717	0.005683962	0.002359321	0.003292046	0.003378866	0.00383394	0.002730907	0.001839064	0.002077453	0.001445034	0.00174833	0.002029256	0.003385661	0.002854425	0.0022056	0.002764304	0.001262186	0.001076364	0.001038958	0.001101884	0.001287098	0.001426755
PC40:7(18:2/22:5)	0.000465559	0.000542679	0.000545651	0.000459627	0.000410506	0.000252811	0.000299632	0.000282037	0.000292965	0.000255092	0.000267911	0.000365953	0.000194428	0.000199513	0.000239688	0.000512208	0.00050386	0.000318955	0.000382347	0.000445782	0.000403475	0.000387427	0.00029567	0.000389194	0.000408537
PC40:7(20:3/20:4)	0.003948265	0.004214075	0.004274823	0.003692631	0.003472404	0.001299405	0.001587358	0.001560981	0.001746901	0.001292615	0.001207195	0.001550758	0.000882503	0.001116596	0.001196409	0.001924788	0.001646132	0.001147841	0.001304486	0.001278478	0.001135084	0.001224973	0.000950334	0.001180994	0.001287624
PC40:6(18:0/22:6)	0.009958261	0.012860033	0.012140806	0.009528779	0.008848239	0.00402033	0.004921382	0.005388137	0.00637435	0.004822038	0.002309569	0.00249048	0.001719086	0.002132461	0.002623181	0.004622732	0.00381238	0.002912602	0.003840761	0.002867928	0.002196101	0.002353486	0.00391665	0.004659504	0.005140631
